Artist:  DaBaby & Jack Harlow)"  Streams: Saweetie
Artist: Polo G  Streams: 5115419
Artist: BANNERS  Streams: 5108134
Artist: Billie Eilish  Streams: 5103239
Artist: Ed Sheeran  Streams: 5062972
Artist: Megan Thee Stallion  Streams: 5026651
Artist: Chris Brown  Streams: 5024476
Artist: Farruko  Streams: 4999594
Artist: ITZY  Streams: 4982232
Artist: Nea  Streams: 4951616
Artist: Pop Smoke  Streams: 4943222
Artist: John Legend  Streams: 4937741
Artist: The Kid LAROI  Streams: 4926154
Artist: Dua Lipa  Streams: 4912636
Artist: Ozuna  Streams: 4892383
Artist: Travis Scott  Streams: 4876238
Artist: Marshmello  Streams: 4848625
Artist: Jonas Esticado  Streams: 4843175
Artist: Dean Lewis  Streams: 4823876
Artist: Halsey  Streams: 4791307
Artist: Doja Cat  Streams: 4769806
Artist: The Chainsmokers  Streams: 4755306
Artist: Alex Rose  Streams: 4742430
Artist: Maluma  Streams: 4737291
Artist: BTS  Streams: 4710909
Artist: Robin Schulz  Streams: 4668193
Artist: Kina  Streams: 4650922
Artist: K/DA  Streams: 4642057
Artist: Tame Impala  Streams: 4641064
Artist: Passenger  Streams: 4629245
Artist: Master KG  Streams: 4617442
Artist: The Neighbourhood  Streams: 4617400
Artist: Lil Peep  Streams: 4616550
Artist: Mc Zaac  Streams: 4615520
Artist: Noah Cyrus  Streams: 4604373
Artist: Peach Tree Rascals  Streams: 4593366
Artist: Taylor Swift  Streams: 4587573
Artist: Headie One  Streams: 4586895
Artist: Black Eyed Peas  Streams: 4585895
Artist: KitschKrieg  Streams: 4572706
Artist: XXXTENTACION  Streams: 4571470
Artist: Lil Baby  Streams: 4570806
Artist: Lewis Capaldi  Streams: 4548931
Artist: Kygo  Streams: 4538382
